original_archive,public_archive,original_sha256,public_sha256,files_retained,files_omitted,public_bytes
二阶主题方法与29维向上提炼矩阵_修订版_0801.zip,archives/2026-08-01_theme_method_and_29-dimension_matrix.zip,46fa5a7f246569ee4ddf0bd76713382a152fcb6dd34605c43974a3f9ae1518dd,c50aeb6ca62f73d568fe393ebda7da92968eeebf24111e8e689b5169ff7514c1,2,0,80128
H-M错误更正审计_修订统计表与热力图_0801.zip,archives/2026-08-01_error-correction_audit_statistics_and_heatmaps.zip,c3244156cdc2a405229d001c011146c459aaaa56bfa626133db1f131945689d7,1b979e14e7ec99fa30bdb10715a5c98debf50b30236ea24b25489a6bd96e948e,10,2,607734
错误更正相关编码表_修改文件合集.zip,archives/2026-08_error-correction_revised_coding_files.zip,20d4302bb825b0e7a8f19b0f9eb94a5040b1801e327b5498b116e14becf8ea38,40aaad8d22e0932fb8cf357de9c511bea190b52eb1e974fcaf717e4f22211423,7,0,143545
AI和MT立场文件_错误更正审计修订版.zip,archives/2026-08_ai-mt_position_documents_coding_revision.zip,95b0f8423f43df72cbdde003d5cbc5d2ff206de3c95b38da83780808a8c56b90,6bf0c1ee7eb667e9c8ef3c6a97d0dcb2b6e402ee628b259da924447ce76532ba,11,11,197680
19份伦理规范原文和编码表_错误更正审计修订版.zip,archives/2026-08_professional_codes_coding_revision.zip,a0074a4a5a1989e190405f961fa885de399cccb1bf5edf8031b78cc189c98840,0d2703a54ac0c9689b224551432417f17b4fdd32d90e30c53832672792dd02cd,19,21,250768
H-M人机协同口译伦理_四份框架文件_修订版_0801.zip,archives/2026-08-01_four_framework_files.zip,aa1c87401a0dd05f030dae2b9ce2ab798d77c9671b06a7e9b00d6b8ff2ce0217,81e7cb9bf99d6e41f0994d13354e018439f6355eb9f0e4739444bcab2d88a833,4,0,209892
人机协同口译伦理_HM错误更正审计与全套修订_0801.zip,archives/2026-08-01_full_revision_generated_materials_part-1.zip;archives/2026-08-01_full_revision_generated_materials_part-2.zip;archives/2026-08-01_full_revision_generated_materials_part-3.zip,39c54dfb0914ceb4fc016b42ec5276642869f1a7698d3b555b5034fb700f764a,f3c4ffdcacebde54f0a20356d901941d5d455a3182f7397b6cd73bf1920a1c01;5a3a3b95908d24718b76e37f82ec57865564cd946884c4227f95717df64aa87b;86ce4a4c244266d8b26ceeec0d7988405c6aec60fbd426410bee68460efa8f85,21,5,1026844
H-M口径四份分析表_广义翻译与跨语言交流版_0730.zip,archives/2026-07-30_four_analysis_tables_broad-scope.zip,1e9aca3dc986223bbfeed652c8f9576dd353164b9bfdd69caa4723f892665f51,f42b6effb63cca6d4ff8abbfc85fee680467eb3dc014aaec4d37a96bd3dd1c30,5,0,221037
H-M口径四份分析表_0730.zip,archives/2026-07-30_four_analysis_tables.zip,3b4cea3bd1a1e217fddee48d9c82f76106693695f518aa618850635f3147377f,ed4509ee1a6f5f402ec5cdaadfba8725d6cceff6ed3294495f01b039c7aa1fc0,4,0,220391
29份伦理文件_双轴分类统计_0729.zip,archives/2026-07-29_dual-axis_classification_statistics_part-1.zip;archives/2026-07-29_dual-axis_classification_statistics_part-2.zip;archives/2026-07-29_dual-axis_classification_statistics_part-3.zip,5884cf58763bb62e5b80528573f5ed53a9e0571b6c873c56bbdd7504649238cb,defcbaebf5167b51a24e948eeedacf0e4f1f437693f5cb98cc85b9c5f67faaf2;d02d9dd36fd45d9f2e7d4d5314e87077d23239df0cb08b73eb97aec0be0cfa1a;e2a624def98028055c660d8f30860b1499a0baff51c8c985cf20d884d387da1e,12,2,866073
6份分类统计-具体版.zip,archives/2026-07_six_classification_statistics.zip,108734c43c42caefad4c02b76143519e4e4a5f90d783b254da2f5547ada19ebc,580179648b015fecfcce83da5c3ed46c038be6398a25c032f31eb68c35771d2f,7,1,485513
29份伦理文件_双轴重新分类_0729.zip,archives/2026-07-29_dual-axis_reclassification_generated_materials.zip,dc49b37f04268e5c111f86eb11619aae18d3f26d73f1c2fe3b6a4f1824817d97,238da76ec26b48308c2f0b706dbc8f2eccb01c7087103e6ca15290f4efb79b04,63,29,564094
宣言性质-关于AI和MT的quasi伦理文件_0723.zip,archives/2026-07-23_ai-mt_quasi-ethical_documents_coding.zip,32742c7d4572ac647035ba92374688f68389e1f678da31adc151f582fe78ebe8,a9bd7d3250c44fbaf27dbdd703bfde07d1edbde27b0645ac1a98458186f84ae5,11,12,203672
19份伦理规范原文和编码表打包_0723.zip,archives/2026-07-23_professional_codes_coding.zip,829aa1fc812fe3f3f5161d0feaf2fe20ca8c2ee53b70fbac8488d4ab6c28ae34,403727b3dc1489f4bd84261bb9d65aa8a9fe23ee417fa6c889a7ec06bac26097,19,21,260003
